timestamp_utc,shortcode,permalink,media_type,is_video,caption,accessibility_caption,likes,comments,location,carousel_items,raw_metadata_file
2026-02-18T14:29:40+00:00,DU5xIptDDAo,https://www.instagram.com/p/DU5xIptDDAo/,GraphImage,False,Ramadan Mubarak from team Kaflah.,,-1,0,,0,2026-02-18_14-29-40_UTC.json.xz
2026-02-28T21:43:08+00:00,DVUSoksDHdq,https://www.instagram.com/p/DVUSoksDHdq/,GraphImage,False,"This Ramadan, be the reason someone breaks their fast with ease. 
Join us as we serve 2000+ people at our Iftar Dastarkhuwan.
Sign up via the link in our bio.
For any queries contact: 
Rahima Habib
0306 1174847",,-1,1,,0,2026-02-28_21-43-08_UTC.json.xz
2026-03-04T16:48:57+00:00,DVeELm-DCw2,https://www.instagram.com/p/DVeELm-DCw2/,GraphVideo,True,"Alhamdulillah, by the grace of Allah, in collaboration with Allah Walley Trust and ABU, we successfully carried out Day 1 of our Iftar Dastarkhuwan on 3rd March 2026.

2000+ people served. Countless plates distributed and a community brought together. What may seem like a meal is comfort to someone. What may seem small is relief to many.
 
May Allah accept it from all of us. 🤍",,53,2,,0,2026-03-04_16-48-57_UTC.json.xz
2026-03-05T18:06:11+00:00,DVgxyuaDG8c,https://www.instagram.com/p/DVgxyuaDG8c/,GraphVideo,True,"Small acts of kindness create the biggest change. 🤍

#foryou #ramadan #ramadankareem #iftardrive",,161,26,,0,2026-03-05_18-06-11_UTC.json.xz
2026-06-20T17:04:43+00:00,DZ0LJy5sBuq,https://www.instagram.com/p/DZ0LJy5sBuq/,GraphImage,False,"Kaflah organisation, in collaboration with the Allah Walay Trust, is thrilled to announce its first Summer Internship at Government Girls Primary School Gulberg taking place from June 29th to July 2nd, 2026!
This program focuses on setting up a fun and engaging learning environment for the students. Interns will step away from standard textbook teaching to run creative sessions in public speaking, math, science, arts and more. It is all about boosting the kids’ confidence, keeping them curious, and teaching them real world skills through direct mentorship.

Apply through the link in our bio! 

Application Deadline: June 26th, 2026, at 11:59 PM.

For any further queries, please contact: 
Saad: 0321 6691149
Rahima: 0306 1174847",,65,2,,0,2026-06-20_17-04-43_UTC.json.xz
2026-06-29T11:24:54+00:00,DaKwAJPwdEJ,https://www.instagram.com/p/DaKwAJPwdEJ/,GraphVideo,True,"A successful start to Kaflah’s Summer Internship! Day 1 was filled with inspiring energy, hands-on learning, and wonderful connections between our interns and students. We are deeply grateful for the dedication shown by our team today and look forward to the progress and impact the coming days will bring.",,64,10,,0,2026-06-29_11-24-54_UTC.json.xz
2026-07-01T09:18:18+00:00,DaPqP3HIBVP,https://www.instagram.com/p/DaPqP3HIBVP/,GraphVideo,True,"Sparking creativity and making every moment count.

#community #internship #foryou #ngo #explore",,67,20,,0,2026-07-01_09-18-18_UTC.json.xz
2026-07-02T13:54:29+00:00,DaSvFUKsJKr,https://www.instagram.com/p/DaSvFUKsJKr/,GraphVideo,True,"The energy in the classrooms on Day 3 was unmatched. Academic subjects came to life through creative, interactive games that had the students completely hooked, proving that learning doesn’t always have to happen at a desk. Beyond the academics, the day took a powerful turn with a self-defense workshop, focused entirely on building the kids’ confidence and personal strength. Seeing the growth in both the students and the amazing team makes every single bit of effort worth it. 

#foryou #community #explore #ngo #ig",,53,7,,0,2026-07-02_13-54-29_UTC.json.xz
2026-07-03T15:47:01+00:00,DaVg9ZBsARX,https://www.instagram.com/p/DaVg9ZBsARX/,GraphVideo,True,"What started as a simple vision wrapped up in the most energetic way possible with Sports Day. The field was pure chaos in the best way with nonstop racing, cheering, and the loudest smiles from the kids. Our interns were the absolute backbone, turning into coaches and cheerleaders to keep everything running flawlessly.

Between the races, an art gallery put the kids' amazing creativity on display and the best artwork took home the cutest crochet keychain. A huge thank you to @woollywhims.pk for providing those gorgeous handcrafted keychains

#sportsday #foryou #explorepage #community #ngo",,60,13,,0,2026-07-03_15-47-01_UTC.json.xz
2026-07-04T18:18:13+00:00,DaYXSzDsxTI,https://www.instagram.com/p/DaYXSzDsxTI/,GraphVideo,True,"A fun QnA with the students. 

#internship #ngo #foryou #explore #community",,61,25,,0,2026-07-04_18-18-13_UTC.json.xz
2026-07-09T14:18:16+00:00,DakzaN-MyKb,https://www.instagram.com/p/DakzaN-MyKb/,GraphVideo,True,"From June 29th to July 2nd, team Kaflah successfully held its first summer internship. The entire program was structured to merge academic development with practical and engaging experiences for the students.

The academic segment delivered interactive sessions in essential subjects, including Mathematics, English, Science, and Public Speaking. To ensure a balanced approach to student development, each day also featured specialized extracurricular modules. These activities ranged from creative arts and crafts to physical training sessions in aerobics and essential self defense. 

The internship concluded with an absolute celebration. A competitive Sports Day was hosted alongside a beautiful Art Gallery showcasing the students’ own brilliant creations over the week. To top it all off, the children received special goody bags to commemorate their hard work.

We are incredibly proud of every volunteer who contributed to making this journey a true reflection of learning, growth, and collective effort.",,81,32,,0,2026-07-09_14-18-16_UTC.json.xz
2026-07-27T10:41:03+00:00,DbSwZC7I10L,https://www.instagram.com/p/DbSwZC7I10L/,GraphImage,False,"We’re thrilled to announce that Project Zavia and Kaflah are hosting a fundraiser! 💙💚
Join us on Thursday, 30th July, from 4:30 PM to 7:30 PM at Pink Pistachio, Gulberg for an exciting evening filled with fun, activities, and a great cause! 
Come join us and be a part of something meaningful! 
Sign up by filling out the form in our bio! 

We can’t wait to see you there! 🫶🏻. 
In case of any queries, contact : 
Rahima habib 92 306 1174847. 
Fatima Fahd 03314030601",,41,6,,0,2026-07-27_10-41-03_UTC.json.xz
2026-08-01T11:00:50+00:00,DbfrFigosvk,https://www.instagram.com/p/DbfrFigosvk/,GraphVideo,True,"Project Zavia held a fundraiser in collaboration with Kaflah on Thursday, 30 th July . Thankyou everyone who joined us 💌!!",,140,23,,0,2026-08-01_11-00-50_UTC.json.xz
2026-08-02T12:45:58+00:00,DbicjDXjMQ_,https://www.instagram.com/p/DbicjDXjMQ_/,GraphSidecar,False,"On July 30th, 2026 Kaflah Organisation held it’s first fundraiser in collaboration with Project Zavia at Pink Pistachio Cafe with the aim to raise funds for critical social causes. See you all next time!",,58,6,,5,2026-08-02_12-45-58_UTC.json.xz
